,mi_score,sign_fscore,sign_fscore_0_1,corr,EN_coef,boruta_rank
room_type,0.33113301189439737,0.0,1,0.46073749927403723,66.60529,1
room_private,0.3291036276842454,0.0,1,-0.46073749927403723,-0.013504688,1
person_capacity,0.3304914862288779,0.0,1,0.3470271597522691,33.36333,1
host_is_superhost,0.1489239410342238,1.1913570963704878e-11,1,-0.05243243729793945,,6
multi,0.14177797334490672,5.449579964580744e-47,1,-0.15654302305052445,31.634403,9
biz,0.1754628073957205,6.055660503304555e-42,1,0.09039078717968696,61.137344,1
cleanliness_rating,0.18501141155306922,0.41997765053130576,0,-0.00827361687933455,15.145918,1
guest_satisfaction_overall,0.2795971954243539,0.2497690721589624,0,0.05820238380645179,0.100369,1
bedrooms,0.25723180332190987,2.4167885701628663e-276,1,0.1895620552939509,69.66665,1
dist,0.36839408392231565,4.422992387585438e-81,1,-0.18718485638576052,-21.108894,1
metro_dist,0.36466305066510163,4.9902256308127325e-163,1,-0.29089614765624383,19.963486,1
lng,0.8593892360146076,0.0,1,-0.3916761254036337,-26.697237,1
lat,0.8140526597932141,0.0,1,0.3769781827945844,-7.3426476,1
is_weekend,0.19871472910707233,0.19967254255126055,0,0.024887196911544156,4.033917,1
city,0.7307371964011891,9.967065312079425e-273,1,-0.36487030519409785,118.69796,2
longitude_disc_2_093_2_347,0.3815564684455266,1.4956594427469282e-284,1,0.2958196590817538,92.78546,4
longitude_disc_2_347_12_47,0.19182395464068636,0.07234935125689068,0,0.010468737038218925,-3.1290588,7
longitude_disc_12_47_12_583,0.31823805161977736,7.138453529094124e-256,1,-0.3065462910513653,-8.543576,10
latitude_disc_41_35_41_893,0.3082826480050347,1.4863642450907405e-175,1,-0.30670032261935415,-24.304527,5
latitude_disc_41_893_48_837,0.2667579080810105,3.950972568611394e-124,1,-0.17278841113758114,-2.6320906,3
latitude_disc_48_837_48_901,0.4372516881656212,0.0,1,0.47979889732833547,65.790436,7
